IMSDB_Title,RT_Title,CriticScore,AudienceScore
nightmare on elm street: the final chapter,FREDDY'S DEAD: THE FINAL NIGHTMARE,22,32
o brother where art thou?,O BROTHER WHERE ART THOU?,78,89
officer and a gentleman,AN OFFICER AND A GENTLEMAN,79,81
passion of joan of arc,THE PASSION OF JOAN OF ARC,98,93
perfect creature,PERFECT CREATURE,,36
perfect world,PERFECT WORLD,,
pet sematary ii,PET SEMATARY TWO,21,31
pirates of the caribbean,NOTFOUND,,
pokemon: mewtwo returns,POK�MON: MEWTWO RETURNS,0,60
precious,PRECIOUS: BASED ON THE NOVEL "PUSH" BY SAPPHIRE,92,77
pretty woman (final script),FINAL DRESS,,
producer,THE PRODUCERS,91,85
quantum project,,,
rambo: first blood ii: the mission,RAMBO: FIRST BLOOD PART II,33,60
reindeer games,REINDEER GAMES HOMECOMING,,80
return of the apes,THERE'S A NOOSE WAITING FOR YOU...TRINITY!,,
ringu,THE RING,98,81
rko 281,RKO 281,92,75
romeo & juliet,ROMEO & JULIET,,
roughshod,ROUGHSHOD,,50
rust and bone,RUST AND BONE,82,80
s. darko,S. DARKO: A DONNIE DARKO TALE,13,18
sandlot kids,THE SANDLOT 2,40,41
scott pilgrim vs the world,SCOTT PILGRIM VS. THE WORLD,82,84
se7en,SEVEN,83,95
sense and sensibility,SENSE AND SENSIBILITY,97,90
seventh seal,THE SEVENTH SEAL,93,93
sex,SEX LIES AND VIDEOTAPE,96,79
sexual life,SEXUAL LIFE,,42
shivers,SHIVERS,,83
silver bullet,SILVER BULLET,41,56
sleepless in seattle,SLEEPLESS IN SEATTLE,75,75
south park,SOUTH PARK: JOINING THE PANDERVERSE,,97
space milkshake,,96
spare me,SPARE CHANGE,,
star trek: generations,STAR TREK GENERATIONS,48,57
star wars: a new hope,STAR WARS: EPISODE IV - A NEW HOPE,93,96
star wars: attack of the clones,STAR WARS: EPISODE II - ATTACK OF THE CLONES,65,56
star wars: return of the jedi,STAR WARS: EPISODE VI - RETURN OF THE JEDI,83,94
star wars: revenge of the sith,STAR WARS: EPISODE III - REVENGE OF THE SITH,79,66
star wars: the empire strikes back,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,95,97
star wars: the force awakens,STAR WARS: THE FORCE AWAKENS,93,85
star wars: the phantom menace,STAR WARS: EPISODE I - THE PHANTOM MENACE,52,59
station west,STATION WEST,,44
strange days,STRANGE DAYS,68,73
strangers on a train,STRANGERS ON A TRAIN,98,92
stuntman,STUNTMAN,100,89
sugar and spice,SUGAR & SPICE,29,42
sunset blvd.,SUNSET BOULEVARD,98,95
superfights,SUPERFIGHTERS,,60
surfer king,THE SURFER KING,,21
synecdoche,SYNECDOCHE NEW YORK,69,71
taking sides,TAKING SIDES,73,73
tall in the saddle,TALL IN THE SADDLE,,72
tenet,TENET,69,76
terminator 2: judgement day,TERMINATOR 2: JUDGMENT DAY,91,95
the rage: carrie 2,THE RAGE: CARRIE 2,23,33
things my father never taught me,NOTFOUND,,
thor ragnarok,THOR: RAGNAROK,93,87
three kings (spoils of war),SPOILS OF WAR,,24
three men and a baby,THREE MEN AND A CRADLE,72,56
ticker,TICKER,,18
tombstone,TOMBSTONE,73,94
tristan and isolde,TRISTAN & ISOLDE,32,71
tron: legacy,TRON: LEGACY,51,63
true lies,TRUE LIES,71,76
twilight: new moon,THE TWILIGHT SAGA: NEW MOON,28,61
twin peaks,TWIN PEAKS: THE MISSING PIECES,,90
u turn,U-TURN,29,
un singe en hiver,A HEART IN WINTER,85,90
walk to remember,A WALK TO REMEMBER,29,78
warm springs,WARM SPRINGS,,77
white jazz,JOOKIN,,
white ribbon,THE WHITE RIBBON,85,79
who's your daddy,WHO'S YOUR DADDY?,,39
wild at heart,WILD AT HEART,65,81
wild things: diamonds in the rough,WILD THINGS: DIAMONDS IN THE ROUGH,,24
