abyss,James Cameron
after school special,David H. Steinberg
alien 3,Rex Pickett
american madness,Robert Riskin
american milkshake,David Andalman,Mariko Munro
american shaolin: king of kickboxers ii,Keith Strandburg
american werewolf in london,John Landis
amityville asylum,Andrew Jones
arcade,David S. Goyer
arctic blue,Ross LaManna
austin powers - international man of mystery,Mike Myers
austin powers - the spy who shagged me,Mike Myers
avventura, L' (The Adventure),Michelangelo Antonioni,Elio Bartolini,Tonino Guerra
bachelor party,Neal Israel,Pat Proft,Bob Israel
bachelor party,Paddy Chayefsky
back to the future ii & iii,Bob Gale
backdraft,Gregory Widen
bad country,Jonathan Hirschbein
bad dreams,Andrew Fleming,Steven E. de Souza
bamboozled,Spike Lee
batman,Sam Hamm,Warren Skaaren
batman 2,Sam Hamm
batman and robin,Bob Kane,Akiva Goldsman
battle of algiers,Gillo Pontecorvo,Franco Solinas
beasts of no nation,Cary Joji Fukunaga
big blue,Luc Besson,Robert Garland
bodies, Rest & Motion,Roger Hedden
body heat,Lawrence Kasdan
boondock saints 2: all saints day,Troy Duffy
brazil,Terry Gilliam,Charles McKeown
break,Oliver Stone
candle to water,Nick Green
celeste & jesse forever,Rashida Jones,Will McCormack
chaos,Tony Giglio
chasing sleep,Michael Walker
cherry falls,Ken Selden
christ complex,Jeffrey Scott Richards
chronicles of narnia: the lion Witch and the Wardrobe,C.S. Lewis,Ann Peacock
cinema paradiso,Giuseppe Tornatore
clockwork orange, A,Stanley Kubrick
crazy, Stupid, Love,Dan Fogelman
crazylove,Carol Watson
crouching tiger, Hidden Dragon,Wang Hui Ling,James Schamus,Tsai Kuo Jung
croupier,Paul Mayersberg
crow salvation,Chip Johannessen
custody,Eric Stuyvesant
dark star,John Carpenter,Dan O'Bannon
dave barry's complete guide to guys,Jeff Arch,Dave Barry
day the clown cried,Charles Denton,Jerry Lewis
distinguished gentleman,Adam Resnick
dogma,Kevin Smith
dry white season, A,Euzhan Palcy
e.t.,Melissa Mathison
ed tv,Emile Gaudreault,Sylvie Bochard
elvis,Baz Luhrmann,Sam Bromell,Craig Pearce,Jeremy Doner
escape from l.a.,John Carpenter,Debra Hill,Kurt Russell
even cowgirls get the blues,Tom Robbins,Gus Van Sant
evil dead ii: dead by dawn,Sam Raimi,Scott Spiegel
executive decision,Jim Thomas,John Thomas
fabulous baker boys,Steven Kloves
face off,Mike Werb,Michael Colleary
fairytale: a true story,Ernie Contreras
fantastic mr fox,Roald Dahl,Wes Anderson,Noah Baumbach
freaked,Tim Burns,Tom Stern,Alex Winter
fright night (1985),Tom Holland
frozen (disney),Jennifer Lee
glengarry glen gross,David Mamet
godfather part ii,Mario Puzo,Francis Ford Coppola
godfather part iii,Mario Puzo,Francis Ford Coppola
good girl,Mike White
gremlins 2,Charlie Haas
grosse point blank,Tom Jankiewicz, D.V. deVincentis, S.K. Boatman,John Cusack
guardians of the galaxy vol 2,James Gunn
halloween: the curse of michael myers,Daniel Farrands
happy birthday, Wanda June,Kurt Vonnegut Jr.
harold and kumar go to white castle,Jon Hurwitz,Hayden Schlossberg
harry potter and the deathly hallows part 1,Steve Kloves
hellboy 2: the golden army,Guillermo del Toro
hellraiser 3: hell on earth,Peter Atkins,Tony Randel
i, Robot,Hillary Seitz
indiana jones and the raiders of the lost ark,George Lucas,Philip Kaufman,Lawrence Kasda
indiana jones iv,Christopher Columbus
jennifer eight,Bruce Robinson
jerry maguire,Cameron Crowe
jeux interdits,Jean Aurenche,Pierre Bost,Francois Boyer,Rene Clement
jojo rabbit,Christine Leunens,Taika Waititi
jurassic park: the lost world,David Koepp
kafka,Lem Dobbs
kids,Larry Clark,Harmony Korine
kill bill volume 1 & 2,Quentin Tarantino
killers of the flower moon,Eric Roth,Martin Scorsese,David Grann
kramer vs kramer,Robert Benton
